Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,Market Cap(Cr),Enterprise Value(Cr)
Shiva Texyarn Ltd.,511108,SHIVATEX,INE705C01020,Textiles,Cotton & Blended Yarn,2022-06-16,154,-8.9,150.8,322.15,201.83,330.03
Shiv Aum Steels Ltd.,,SHIVAUM,INE719F01016,Metals & Mining,Stainless Steel,2022-06-07,162.5,0,,,221.01,266.46
Shivom Investment & Consultancy Ltd.,539833,,INE074G01014,Financial,Business Consultancy,2022-06-13,0.8,-4.76,0.3,0.92,5.6,4.36
SH Kelkar & Co Ltd.,539450,SHK,INE500L01026,Chemicals,Organic Chemicals,2022-06-16,129.05,-4.55,126,207.45,"1,794.63","2,246.51"
Shoppers Stop Ltd.,532638,SHOPERSTOP,INE498B01024,Services,Retailing,2022-06-16,443.15,-1.88,218.7,598.65,"4,858.52","4,964.99"
Shraddha Prime Projects Ltd.,531771,,INE311M01018,Consumer Staples,Misc. Manuf.Articles,2022-06-13,15.12,5,10.77,15.12,6.89,5.8
Shradha Infraprojects Ltd.,,SHRADHA,INE715Y01015,Construction,Real Estate,2022-06-16,42.65,-1.04,,,43.54,179.17
Shree Ajit Pulp & Paper Ltd.,538795,,INE185C01017,Consumer Staples,Paper,2022-06-16,290,-1.71,286,414,157.89,157.07
Shree Bhawani Paper Mills Ltd.,502563,,INE688C01010,Consumer Staples,Paper,2022-06-15,3.6,0,1.47,8.05,12.54,296.94
Shree Cement Ltd.,500387,SHREECEM,INE070A01015,Materials,Cement,2022-06-16,"18,711.85",-3.12,"18,591.40","31,469.95","67,827.12","67,336.36"
