Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales growth 3Years,Profit growth 3Years,Average return on capital employed 3Years,Average return on equity 3Years,YOY Quarterly sales growth,YOY Quarterly opm growth,YOY Quarterly profit growth,Return over 10years,Profit growth 10Years
Salzer Electron.,517059,SALZERELEC,Electric Equipment,172.60,275.19,11.87,-2.09,9.72,7.23,20.21,-33.69,-45.21,12.48,10.62
Hind Rectifiers,504036,HIRECT,Electronics - Components,166.30,275.11,13.40,-12.06,12.99,10.96,35.42,-11.93,83.53,15.06,-3.09
Peninsula Land,503031,PENINLAND,Construction,9.82,275.00,9.77,27.09,-6.20,,-16.33,206.79,173.97,-11.85,-15.78
Softsol India,532344,,Computers - Software - Medium / Small,162.95,274.08,16.71,62.08,7.49,6.30,79.71,-53.37,-282.04,9.80,25.18
Shree Ganesh Rem,540737,,Pharmaceuticals - Indian - Bulk Drugs & Formln,227.50,273.15,26.50,29.01,30.86,23.44,33.77,-31.70,26.73,,23.76
H D I L,532873,HDIL,Construction,5.75,272.55,-87.01,,-0.91,,-23.08,-4.00,16.01,-23.51,
Jaykay Enter.,500306,JKSYNTHETC,Miscellaneous,57.25,272.47,225.59,90.08,4.62,10.62,3400.00,97.89,-100.26,26.17,
Race Eco,537785,,Trading,165.50,271.96,46.32,164.00,5.90,3.58,,,,,23.66
Saraswati Commer,512020,,Finance & Investments,2640.00,271.90,111.29,113.47,13.28,10.78,364.22,,579.79,,60.00
Visesh Infotec.,532411,VISESHINFO,Computers - Software - Medium / Small,0.73,271.66,-69.34,15.32,-1.02,-0.96,20.00,-5.56,6.06,11.18,
G K P Printing,542666,,Paper,185.05,271.40,29.50,-32.03,6.05,3.97,21.00,-61.48,28.57,,
Sakar Healthcare,,SAKAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,158.10,270.64,23.39,31.32,13.45,12.78,68.77,-23.06,417.82,,31.44
Kothari Sugars,,KOTARISUG,Sugar,32.55,269.81,8.43,42.54,11.46,11.54,29.86,334.17,1578.15,15.07,13.73
Tinna Rubber,530475,,Trading,314.95,269.75,22.28,496.98,10.96,5.84,43.37,1.91,361.68,32.92,20.24
Guj. Sidhee Cem.,518029,GSCLCEMENT,Cement - North India,30.40,268.67,7.69,69.59,11.33,7.23,4.41,-81.05,-84.52,14.30,13.67
Swiss Military,523558,NETWORK,Finance & Investments,27.30,268.36,122.48,100.79,10.43,12.36,574.15,-21.52,439.13,20.00,15.05
Sadbhav Infra.,539346,SADBHIN,Construction,7.72,267.90,-35.27,33.70,12.12,,-14.85,-171.81,391.93,,31.09
Sadbhav Engg.,532710,SADBHAV,Construction,15.65,267.68,-28.60,,8.01,-28.44,5.39,-553.62,-1146.64,-19.73,
Master Trust,511768,,Finance & Investments,123.00,267.57,35.06,49.15,19.95,14.09,12.41,-7.56,2.69,14.50,16.83
Venus Remedies,526953,VENUSREM,Pharmaceuticals - Indian - Formulations,200.50,267.27,22.98,59.75,5.79,6.92,27.45,-3.23,-98.42,-0.63,-1.44
Wealth First Por,,WEALTH,Finance & Investments,250.55,266.96,-53.53,38.60,33.54,25.20,78.41,19.11,283.14,,75.05
Supreme Holdings,530677,,Construction,75.05,266.28,11.85,61.81,7.79,7.58,147.61,203.34,445.53,10.97,33.43
Baid Leasing,511724,,Finance & Investments,22.10,265.35,-4.96,-3.26,11.53,6.54,22.45,-3.42,105.23,40.07,29.95
Euro India Fresh,,EIFFL,Food - Processing - Indian,106.95,265.23,17.60,52.65,4.65,2.09,16.22,-38.52,-52.94,,
Panchmahal Steel,513511,PANCHMSTEL,Steel - Medium / Small,139.00,265.21,8.19,183.90,17.26,10.35,30.75,38.23,34.30,9.63,25.74
IKAB Securities,514238,,Finance & Investments,774.00,264.71,122.24,327.57,65.28,18.05,-89.67,-92.47,23.53,51.94,65.30
